PID,Trial,Condition,Measure,Response
9,1,Mismatched Hand,Agency,3.0
9,2,Alien Hand,Agency,2.0
9,3,Matched Hand,Agency,1.0
9,4,Mismatched Hand,Agency,1.0
9,5,Alien Hand,Agency,2.0
9,6,Matched Hand,Agency,1.0
9,7,Mismatched Hand,Agency,2.0
9,8,Alien Hand,Agency,1.0
9,9,Matched Hand,Agency,2.0
10,1,Matched Hand,Agency,2.0
10,2,Alien Hand,Agency,1.0
10,3,Mismatched Hand,Agency,2.0
10,4,Matched Hand,Agency,2.0
10,5,Alien Hand,Agency,-1.0
10,6,Mismatched Hand,Agency,-3.0
10,7,Matched Hand,Agency,2.0
10,8,Alien Hand,Agency,-2.0
10,9,Mismatched Hand,Agency,2.0
11,1,Matched Hand,Agency,1.0
11,2,Mismatched Hand,Agency,1.0
11,3,Alien Hand,Agency,2.0
11,4,Matched Hand,Agency,2.0
11,5,Mismatched Hand,Agency,2.0
11,6,Alien Hand,Agency,2.0
11,7,Matched Hand,Agency,2.0
11,8,Mismatched Hand,Agency,2.0
11,9,Alien Hand,Agency,2.0
12,1,Alien Hand,Agency,-1.0
12,2,Mismatched Hand,Agency,1.0
12,3,Matched Hand,Agency,1.0
12,4,Alien Hand,Agency,2.0
12,5,Mismatched Hand,Agency,-2.0
12,6,Matched Hand,Agency,-1.0
12,7,Alien Hand,Agency,-1.0
12,8,Mismatched Hand,Agency,-1.0
12,9,Matched Hand,Agency,-1.0
13,1,Matched Hand,Agency,3.0
13,2,Alien Hand,Agency,2.0
13,3,Mismatched Hand,Agency,2.0
13,4,Matched Hand,Agency,2.0
13,5,Alien Hand,Agency,2.0
13,6,Mismatched Hand,Agency,2.0
13,7,Matched Hand,Agency,3.0
13,8,Alien Hand,Agency,2.0
13,9,Mismatched Hand,Agency,2.0
14,1,Alien Hand,Agency,3.0
14,2,Mismatched Hand,Agency,2.0
14,3,Matched Hand,Agency,2.0
14,4,Alien Hand,Agency,1.0
14,5,Mismatched Hand,Agency,1.0
14,6,Matched Hand,Agency,2.0
14,7,Alien Hand,Agency,2.0
14,8,Mismatched Hand,Agency,2.0
14,9,Matched Hand,Agency,2.0
15,1,Matched Hand,Agency,3.0
15,2,Alien Hand,Agency,3.0
15,3,Mismatched Hand,Agency,3.0
15,4,Matched Hand,Agency,3.0
15,5,Alien Hand,Agency,1.0
15,6,Mismatched Hand,Agency,3.0
15,7,Matched Hand,Agency,3.0
15,8,Alien Hand,Agency,3.0
15,9,Mismatched Hand,Agency,3.0
16,1,Matched Hand,Agency,3.0
16,2,Alien Hand,Agency,3.0
16,3,Mismatched Hand,Agency,3.0
16,4,Matched Hand,Agency,3.0
16,5,Alien Hand,Agency,3.0
16,6,Mismatched Hand,Agency,3.0
16,7,Matched Hand,Agency,3.0
16,8,Alien Hand,Agency,3.0
16,9,Mismatched Hand,Agency,-2.0
17,1,Alien Hand,Agency,3.0
17,2,Mismatched Hand,Agency,3.0
17,3,Matched Hand,Agency,-1.0
17,4,Alien Hand,Agency,1.0
17,5,Mismatched Hand,Agency,2.0
17,6,Matched Hand,Agency,2.0
17,7,Alien Hand,Agency,1.0
17,8,Mismatched Hand,Agency,1.0
17,9,Matched Hand,Agency,3.0
18,1,Mismatched Hand,Agency,3.0
18,2,Matched Hand,Agency,1.0
18,3,Alien Hand,Agency,0.0
18,4,Mismatched Hand,Agency,0.0
18,5,Matched Hand,Agency,1.0
18,6,Alien Hand,Agency,0.0
18,7,Mismatched Hand,Agency,0.0
18,8,Matched Hand,Agency,1.0
18,9,Alien Hand,Agency,1.0
19,1,Mismatched Hand,Agency,2.0
19,2,Alien Hand,Agency,2.0
19,3,Matched Hand,Agency,2.0
19,4,Mismatched Hand,Agency,2.0
19,5,Alien Hand,Agency,2.0
19,6,Matched Hand,Agency,2.0
19,7,Mismatched Hand,Agency,2.0
19,8,Alien Hand,Agency,2.0
19,9,Matched Hand,Agency,2.0
20,1,Matched Hand,Agency,2.0
20,2,Mismatched Hand,Agency,1.0
20,3,Alien Hand,Agency,2.0
20,4,Matched Hand,Agency,1.0
20,5,Mismatched Hand,Agency,1.0
20,6,Alien Hand,Agency,-3.0
20,7,Matched Hand,Agency,-2.0
20,8,Mismatched Hand,Agency,1.0
20,9,Alien Hand,Agency,1.0
21,1,Alien Hand,Agency,3.0
21,2,Mismatched Hand,Agency,3.0
21,3,Matched Hand,Agency,3.0
21,4,Alien Hand,Agency,1.0
21,5,Mismatched Hand,Agency,2.0
21,6,Matched Hand,Agency,3.0
21,7,Alien Hand,Agency,3.0
21,8,Mismatched Hand,Agency,2.0
21,9,Matched Hand,Agency,3.0
22,1,Matched Hand,Agency,0.0
22,2,Mismatched Hand,Agency,-3.0
22,3,Alien Hand,Agency,3.0
22,4,Matched Hand,Agency,3.0
22,5,Mismatched Hand,Agency,2.0
22,6,Alien Hand,Agency,1.0
22,7,Matched Hand,Agency,1.0
22,8,Mismatched Hand,Agency,-2.0
22,9,Alien Hand,Agency,-1.0
23,1,Matched Hand,Agency,3.0
23,2,Alien Hand,Agency,3.0
23,3,Mismatched Hand,Agency,3.0
23,4,Matched Hand,Agency,-2.0
23,5,Alien Hand,Agency,3.0
23,6,Mismatched Hand,Agency,1.0
23,7,Matched Hand,Agency,3.0
23,8,Alien Hand,Agency,0.0
23,9,Mismatched Hand,Agency,1.0
24,1,Alien Hand,Agency,1.0
24,2,Mismatched Hand,Agency,3.0
24,3,Matched Hand,Agency,3.0
24,4,Alien Hand,Agency,1.0
24,5,Mismatched Hand,Agency,3.0
24,6,Matched Hand,Agency,-1.0
24,7,Alien Hand,Agency,1.0
24,8,Mismatched Hand,Agency,3.0
24,9,Matched Hand,Agency,1.0
25,1,Matched Hand,Agency,3.0
25,2,Alien Hand,Agency,3.0
25,3,Mismatched Hand,Agency,3.0
25,4,Matched Hand,Agency,3.0
25,5,Alien Hand,Agency,3.0
25,6,Mismatched Hand,Agency,3.0
25,7,Matched Hand,Agency,3.0
25,8,Alien Hand,Agency,3.0
25,9,Mismatched Hand,Agency,3.0
26,1,Mismatched Hand,Agency,3.0
26,2,Matched Hand,Agency,3.0
26,3,Alien Hand,Agency,2.0
26,4,Mismatched Hand,Agency,3.0
26,5,Matched Hand,Agency,3.0
26,6,Alien Hand,Agency,3.0
26,7,Mismatched Hand,Agency,3.0
26,8,Matched Hand,Agency,2.0
26,9,Alien Hand,Agency,3.0
27,1,Alien Hand,Agency,1.0
27,2,Mismatched Hand,Agency,0.0
27,3,Matched Hand,Agency,2.0
27,4,Alien Hand,Agency,2.0
27,5,Mismatched Hand,Agency,-1.0
27,6,Matched Hand,Agency,1.0
